Nama UMKM,Produk Utama,Total Aset (Juta),Penjualan Rata-rata Per Tahun (Juta),Jumlah Tenaga Kerja,Nama Badan Hukum,Kategori,Sistem Penjualan,Target Pasar,Proyeksi Pertumbuhan (%/tahun),Kebutuhan Biaya Kredit (Juta),Nilai Aset Jaminan Kredit,Jumlah Dokumen Kredit,Label
Kios Perancangan,Pupuk,361,400,1,Perorangan,Pertanian. Kehutanan Dan Perikanan,Ritel,Masyarakat Gol Bawah (penghasilan sd 5 juta/bulan)   100.00 %,25,6,0,5,LAYAK
LAPAK BAHTERA AYAM POTONG,DAGANG,44.6,576,1,Perorangan,Pertanian. Kehutanan Dan Perikanan,Ritel,Masyarakat Gol Bawah (penghasilan sd 5 juta/bulan)   100.00 %,30,9,15,3,LAYAK
Budidaya Jamur Tiram,Budidaya Jamur tiram,15.3,36,1,Perorangan,Pertanian. Kehutanan Dan Perikanan,Ritel,Masyarakat Gol Bawah (penghasilan sd 5 sd 10 juta/bulan)   100.00 %,10,10,30,6,TIDAK LAYAK
Holtikultura Srimulyanti,Holtikultura,125.8,75.6,3,Perorangan,Pertanian. Kehutanan Dan Perikanan,Ritel,Memenuhi Order Dari Distributor/Eksportir/Trader   100.00 %,125.8,3,92,12,LAYAK
Toko Pertanian Bu Siswarsini,Toko pertanian,218,84,2,Perorangan,Pertanian. Kehutanan Dan Perikanan,Ritel,Masyarakat Gol Bawah (penghasilan sd 5 sd 10 juta/bulan)   100.00 %,5,9.5,39,7,TIDAK LAYAK
Bangga Aquatic,Ikan hias,69.4,28.8,1,Perorangan,Pertanian. Kehutanan Dan Perikanan,Ritel dan Distributor,Masyarakat Gol Bawah (penghasilan sd 5 sd 10 juta/bulan)   80.00 %,15,5,200,9,LAYAK
Itama Mandiri,madu kelulut,51.1,34.56,2,Perorangan,Pertanian. Kehutanan Dan Perikanan,Ritel  ,Masyarakat Gol Bawah (penghasilan sd 5 sd 10 juta/bulan)   10.00 %,30,10,50,8,LAYAK
Jual Beli Kopi Sanusi,Tani Kopi,90,22,4,Perorangan,Pertanian. Kehutanan Dan Perikanan,Distributor,Memenuhi Order Dari Distributor/Eksportir/Trader   100.00 %,22,20,120,4,TIDAK LAYAK
Amri Anugerah,Budidaya Ikan Lele,27.5,40.5,2,Perorangan,Pertanian. Kehutanan Dan Perikanan,Ritel,Masyarakat Gol Bawah (penghasilan sd 5 juta/bulan)   80.00 %,10,2,13,8,LAYAK
HASIL TANI SEJAHTERA,PADI,2130.50,54,3,Perorangan,Pertanian. Kehutanan Dan Perikanan,Distributor,Masyarakat Gol Bawah (penghasilan sd 5 juta/bulan)   100.00 %,20,10,10,8,TIDAK LAYAK
Petani Rival,pertanian,1568.50,35,3,Perorangan,Pertanian. Kehutanan Dan Perikanan,Ritel,Masyarakat Gol Bawah (penghasilan sd 5 juta/bulan)   50.00 %,10,5,150,6,TIDAK LAYAK
Peyek Tasya,Peyek,0,0,2,Perorangan,Pertanian. Kehutanan Dan Perikanan,Ritel,Masyarakat Gol Bawah (penghasilan sd 5 juta/bulan)   50.00 %,10,5,150,6,TIDAK LAYAK
